state,county,cell_id,fold
01,011,RB-HI,5
01,047,RB-HI,3
01,065,RB-HI,1
01,087,RB-HI,2
01,101,RB-HI,1
01,131,RB-HI,1
05,107,RB-HI,5
12,039,RB-HI,2
13,021,RB-HI,3
13,037,RB-HI,3
13,063,RB-HI,1
13,095,RB-HI,5
13,141,RB-HI,1
13,245,RB-HI,4
13,259,RB-HI,4
22,071,RB-HI,3
22,091,RB-HI,5
28,011,RB-HI,3
28,025,RB-HI,2
28,027,RB-HI,4
28,029,RB-HI,4
28,049,RB-HI,2
28,051,RB-HI,5
28,053,RB-HI,5
28,083,RB-HI,1
28,113,RB-HI,4
28,143,RB-HI,5
28,151,RB-HI,1
28,163,RB-HI,2
37,065,RB-HI,1
37,083,RB-HI,4
45,067,RB-HI,2
45,075,RB-HI,2
47,075,RB-HI,3
47,157,RB-HI,2
51,730,RB-HI,4
28,125,RB-HI,3
04,023,RH-HI,1
12,051,RH-HI,3
12,086,RH-HI,2
12,097,RH-HI,4
35,013,RH-HI,5
36,005,RH-HI,3
40,139,RH-HI,3
48,013,RH-HI,1
48,029,RH-HI,2
48,055,RH-HI,4
48,061,RH-HI,2
48,111,RH-HI,2
48,135,RH-HI,4
48,141,RH-HI,2
48,215,RH-HI,4
48,249,RH-HI,5
48,273,RH-HI,3
48,323,RH-HI,1
48,355,RH-HI,5
48,377,RH-HI,4
48,427,RH-HI,1
48,463,RH-HI,5
48,465,RH-HI,1
48,479,RH-HI,5
48,489,RH-HI,1
48,507,RH-HI,3
02,290,RNA-HI,2
04,001,RNA-HI,3
04,017,RNA-HI,1
35,031,RNA-HI,2
38,085,RNA-HI,5
40,001,RNA-HI,5
46,007,RNA-HI,1
46,041,RNA-HI,3
46,102,RNA-HI,4
46,121,RNA-HI,4
12,017,RW-HI,4
13,011,RW-HI,4
13,025,RW-HI,3
13,187,RW-HI,4
18,035,RW-HI,5
18,167,RW-HI,4
21,051,RW-HI,3
21,121,RW-HI,3
21,147,RW-HI,2
21,207,RW-HI,5
21,237,RW-HI,3
29,015,RW-HI,2
29,023,RW-HI,4
29,035,RW-HI,5
29,059,RW-HI,5
29,085,RW-HI,2
29,091,RW-HI,5
29,141,RW-HI,3
29,147,RW-HI,5
29,149,RW-HI,1
29,161,RW-HI,5
29,223,RW-HI,4
37,189,RW-HI,1
39,075,RW-HI,1
46,027,RW-HI,5
47,029,RW-HI,1
47,041,RW-HI,2
47,057,RW-HI,1
47,067,RW-HI,1
47,077,RW-HI,1
47,087,RW-HI,5
47,091,RW-HI,1
47,111,RW-HI,3
47,121,RW-HI,1
47,123,RW-HI,2
47,137,RW-HI,4
47,151,RW-HI,2
47,153,RW-HI,4
47,173,RW-HI,2
47,179,RW-HI,3
47,185,RW-HI,4
51,105,RW-HI,3
51,530,RW-HI,2
54,015,RW-HI,1
54,047,RW-HI,3
54,059,RW-HI,2
01,015,SB-MC,1
01,089,SB-MC,1
01,101,SB-MC,2
01,125,SB-MC,4
10,001,SB-MC,5
12,073,SB-MC,3
13,021,SB-MC,1
13,051,SB-MC,3
13,063,SB-MC,4
13,097,SB-MC,1
13,151,SB-MC,2
13,153,SB-MC,2
13,215,SB-MC,3
13,245,SB-MC,2
17,115,SB-MC,5
17,143,SB-MC,4
17,163,SB-MC,5
17,167,SB-MC,5
17,201,SB-MC,1
19,013,SB-MC,2
22,017,SB-MC,5
22,019,SB-MC,3
22,055,SB-MC,2
22,073,SB-MC,2
22,079,SB-MC,5
22,103,SB-MC,2
22,105,SB-MC,1
22,109,SB-MC,4
23,001,SB-MC,5
24,043,SB-MC,4
26,077,SB-MC,1
26,121,SB-MC,2
26,145,SB-MC,4
28,049,SB-MC,1
28,059,SB-MC,3
34,001,SB-MC,3
34,021,SB-MC,2
36,001,SB-MC,5
37,051,SB-MC,3
37,063,SB-MC,3
37,071,SB-MC,3
37,129,SB-MC,2
37,147,SB-MC,4
39,099,SB-MC,5
42,007,SB-MC,3
42,043,SB-MC,3
45,003,SB-MC,4
45,013,SB-MC,5
45,015,SB-MC,5
45,019,SB-MC,1
45,041,SB-MC,4
45,063,SB-MC,4
45,075,SB-MC,1
45,079,SB-MC,1
45,091,SB-MC,4
47,065,SB-MC,5
48,039,SB-MC,4
51,041,SB-MC,2
51,087,SB-MC,2
51,153,SB-MC,3
51,550,SB-MC,2
51,650,SB-MC,1
51,700,SB-MC,1
51,710,SB-MC,3
51,740,SB-MC,5
51,760,SB-MC,1
51,800,SB-MC,4
01,073,UB-HI,1
01,097,UB-HI,2
05,119,UB-HI,4
06,001,UB-HI,4
06,037,UB-HI,3
10,003,UB-HI,4
11,001,UB-HI,4
12,009,UB-HI,1
12,011,UB-HI,1
12,031,UB-HI,5
12,057,UB-HI,2
12,071,UB-HI,4
12,086,UB-HI,5
12,095,UB-HI,3
12,099,UB-HI,2
12,103,UB-HI,2
12,105,UB-HI,1
12,115,UB-HI,5
12,127,UB-HI,2
13,067,UB-HI,5
13,089,UB-HI,4
13,121,UB-HI,3
17,031,UB-HI,3
18,089,UB-HI,2
18,097,UB-HI,5
21,111,UB-HI,1
22,033,UB-HI,3
22,051,UB-HI,4
22,071,UB-HI,3
24,003,UB-HI,1
24,005,UB-HI,2
24,033,UB-HI,3
24,510,UB-HI,4
26,049,UB-HI,5
26,125,UB-HI,3
26,163,UB-HI,2
27,053,UB-HI,2
29,095,UB-HI,1
29,189,UB-HI,1
29,510,UB-HI,5
31,055,UB-HI,3
34,013,UB-HI,3
36,005,UB-HI,1
36,029,UB-HI,1
36,047,UB-HI,2
36,055,UB-HI,4
36,067,UB-HI,5
36,081,UB-HI,2
37,081,UB-HI,1
37,119,UB-HI,4
37,183,UB-HI,4
39,035,UB-HI,1
39,049,UB-HI,2
39,061,UB-HI,5
39,095,UB-HI,4
39,113,UB-HI,5
39,153,UB-HI,5
40,109,UB-HI,3
40,143,UB-HI,2
42,003,UB-HI,4
45,045,UB-HI,1
47,037,UB-HI,3
47,093,UB-HI,4
47,157,UB-HI,5
48,113,UB-HI,3
48,157,UB-HI,5
48,167,UB-HI,1
48,201,UB-HI,1
48,303,UB-HI,2
48,439,UB-HI,3
55,079,UB-HI,5
04,013,UH-HI,5
04,019,UH-HI,3
06,019,UH-HI,5
06,029,UH-HI,3
06,037,UH-HI,5
06,053,UH-HI,1
06,065,UH-HI,2
06,071,UH-HI,2
06,077,UH-HI,5
06,083,UH-HI,4
06,099,UH-HI,4
06,107,UH-HI,2
06,111,UH-HI,4
08,001,UH-HI,3
08,031,UH-HI,5
12,011,UH-HI,3
12,021,UH-HI,2
12,057,UH-HI,3
12,071,UH-HI,1
12,086,UH-HI,4
12,095,UH-HI,1
12,099,UH-HI,2
12,105,UH-HI,3
12,127,UH-HI,1
13,089,UH-HI,2
13,135,UH-HI,1
17,031,UH-HI,3
18,089,UH-HI,5
21,111,UH-HI,1
24,033,UH-HI,3
25,013,UH-HI,4
26,081,UH-HI,1
26,163,UH-HI,3
29,095,UH-HI,4
32,003,UH-HI,1
32,031,UH-HI,3
34,017,UH-HI,3
34,031,UH-HI,2
34,039,UH-HI,1
35,001,UH-HI,3
36,005,UH-HI,4
36,029,UH-HI,2
36,047,UH-HI,4
36,081,UH-HI,5
36,119,UH-HI,5
40,109,UH-HI,3
40,143,UH-HI,5
42,011,UH-HI,2
42,101,UH-HI,5
48,029,UH-HI,4
48,061,UH-HI,4
48,113,UH-HI,2
48,121,UH-HI,2
48,141,UH-HI,1
48,157,UH-HI,2
48,167,UH-HI,4
48,201,UH-HI,4
48,215,UH-HI,1
48,303,UH-HI,5
48,339,UH-HI,1
48,439,UH-HI,5
48,453,UH-HI,2
48,491,UH-HI,4
55,079,UH-HI,1
01,073,UW-LI,4
04,013,UW-LI,1
04,019,UW-LI,3
05,119,UW-LI,3
06,001,UW-LI,4
06,013,UW-LI,4
06,019,UW-LI,3
06,029,UW-LI,4
06,037,UW-LI,4
06,053,UW-LI,3
06,059,UW-LI,2
06,065,UW-LI,5
06,067,UW-LI,2
06,071,UW-LI,4
06,073,UW-LI,4
06,075,UW-LI,5
06,081,UW-LI,1
06,085,UW-LI,1
06,097,UW-LI,2
06,111,UW-LI,5
08,001,UW-LI,1
08,005,UW-LI,2
08,031,UW-LI,3
08,041,UW-LI,5
08,059,UW-LI,2
10,003,UW-LI,4
11,001,UW-LI,5
12,011,UW-LI,3
12,099,UW-LI,5
12,103,UW-LI,5
13,067,UW-LI,1
13,089,UW-LI,3
13,121,UW-LI,1
16,001,UW-LI,1
17,031,UW-LI,5
17,043,UW-LI,1
17,089,UW-LI,3
17,097,UW-LI,3
17,197,UW-LI,2
18,089,UW-LI,3
18,097,UW-LI,5
19,153,UW-LI,5
20,091,UW-LI,1
20,173,UW-LI,2
21,111,UW-LI,2
22,033,UW-LI,2
22,051,UW-LI,3
22,071,UW-LI,3
24,003,UW-LI,4
24,005,UW-LI,1
24,031,UW-LI,4
24,510,UW-LI,1
25,005,UW-LI,1
25,009,UW-LI,3
25,013,UW-LI,4
25,017,UW-LI,3
25,021,UW-LI,2
25,023,UW-LI,1
25,025,UW-LI,5
25,027,UW-LI,5
26,049,UW-LI,5
26,081,UW-LI,1
26,099,UW-LI,4
26,125,UW-LI,3
26,161,UW-LI,2
26,163,UW-LI,4
27,037,UW-LI,1
27,053,UW-LI,1
27,123,UW-LI,5
29,095,UW-LI,4
29,189,UW-LI,2
29,510,UW-LI,3
31,055,UW-LI,4
32,031,UW-LI,5
33,011,UW-LI,3
34,003,UW-LI,4
34,005,UW-LI,4
34,007,UW-LI,4
34,013,UW-LI,5
34,023,UW-LI,2
34,025,UW-LI,3
34,027,UW-LI,4
34,029,UW-LI,4
34,031,UW-LI,4
34,039,UW-LI,1
36,029,UW-LI,1
36,047,UW-LI,1
36,055,UW-LI,2
36,059,UW-LI,5
36,061,UW-LI,5
36,067,UW-LI,4
36,081,UW-LI,5
36,085,UW-LI,2
36,103,UW-LI,4
36,119,UW-LI,1
37,081,UW-LI,2
37,119,UW-LI,2
37,183,UW-LI,5
39,035,UW-LI,5
39,049,UW-LI,2
39,061,UW-LI,3
39,095,UW-LI,1
39,113,UW-LI,1
39,153,UW-LI,1
41,051,UW-LI,2
41,067,UW-LI,5
42,003,UW-LI,3
42,011,UW-LI,5
42,017,UW-LI,3
42,029,UW-LI,3
42,045,UW-LI,2
42,071,UW-LI,1
42,079,UW-LI,1
42,091,UW-LI,3
42,101,UW-LI,3
42,129,UW-LI,5
42,133,UW-LI,3
44,007,UW-LI,5
45,045,UW-LI,1
47,037,UW-LI,3
47,157,UW-LI,2
48,085,UW-LI,2
48,121,UW-LI,2
48,453,UW-LI,4
48,491,UW-LI,5
49,035,UW-LI,3
51,059,UW-LI,1
51,810,UW-LI,4
53,011,UW-LI,2
53,033,UW-LI,4
53,053,UW-LI,2
53,061,UW-LI,2
53,063,UW-LI,4
55,025,UW-LI,5
55,079,UW-LI,2
